	Plate	Well	Well Number	Original Gene Target	Frames	Plate_Map_Name	Gene_Replicate	Site	DNA
144	LT0016_15	A4	4	ENSG00000149503	43	LT0016_15_4	1	1	LT0016_15/LT0016_15_4_43.tif
145	LT0016_15	C1	49	ENSG00000149503	42	LT0016_15_49	1	1	LT0016_15/LT0016_15_49_42.tif
146	LT0016_15	C4	52	ENSG00000149503	51	LT0016_15_52	1	1	LT0016_15/LT0016_15_52_51.tif
147	LT0016_18	A4	4	ENSG00000149503	61	LT0016_18_4	1	1	LT0016_18/LT0016_18_4_61.tif
148	LT0016_18	C1	49	ENSG00000149503	35	LT0016_18_49	1	1	LT0016_18/LT0016_18_49_35.tif
149	LT0016_18	C4	52	ENSG00000149503	38	LT0016_18_52	1	1	LT0016_18/LT0016_18_52_38.tif
150	LT0016_26	A4	4	ENSG00000149503	38	LT0016_26_4	1	1	LT0016_26/LT0016_26_4_38.tif
151	LT0016_26	C1	49	ENSG00000149503	44	LT0016_26_49	1	1	LT0016_26/LT0016_26_49_44.tif
152	LT0016_26	C4	52	ENSG00000149503	35	LT0016_26_52	1	1	LT0016_26/LT0016_26_52_35.tif
153	LT0016_28	A4	4	ENSG00000149503	56	LT0016_28_4	1	1	LT0016_28/LT0016_28_4_56.tif
154	LT0016_28	C1	49	ENSG00000149503	47	LT0016_28_49	1	1	LT0016_28/LT0016_28_49_47.tif
155	LT0016_28	C4	52	ENSG00000149503	59	LT0016_28_52	1	1	LT0016_28/LT0016_28_52_59.tif
156	LT0017_01	A4	4	ENSG00000149503	49	LT0017_01_4	1	1	LT0017_01/LT0017_01_4_49.tif
157	LT0017_01	C1	49	ENSG00000149503	31	LT0017_01_49	1	1	LT0017_01/LT0017_01_49_31.tif
158	LT0017_01	C4	52	ENSG00000149503	44	LT0017_01_52	1	1	LT0017_01/LT0017_01_52_44.tif
159	LT0017_08	A4	4	ENSG00000149503	41	LT0017_08_4	1	1	LT0017_08/LT0017_08_4_41.tif
160	LT0017_08	C1	49	ENSG00000149503	54	LT0017_08_49	1	1	LT0017_08/LT0017_08_49_54.tif
161	LT0017_08	C4	52	ENSG00000149503	59	LT0017_08_52	1	1	LT0017_08/LT0017_08_52_59.tif
162	LT0017_19	A4	4	ENSG00000149503	48	LT0017_19_4	1	1	LT0017_19/LT0017_19_4_48.tif
163	LT0017_19	C1	49	ENSG00000149503	38	LT0017_19_49	1	1	LT0017_19/LT0017_19_49_38.tif
164	LT0017_19	C4	52	ENSG00000149503	56	LT0017_19_52	1	1	LT0017_19/LT0017_19_52_56.tif
165	LT0018_03	A4	4	ENSG00000149503	55	LT0018_03_4	1	1	LT0018_03/LT0018_03_4_55.tif
166	LT0018_03	C1	49	ENSG00000149503	41	LT0018_03_49	1	1	LT0018_03/LT0018_03_49_41.tif
167	LT0018_03	C4	52	ENSG00000149503	59	LT0018_03_52	1	1	LT0018_03/LT0018_03_52_59.tif
168	LT0018_25	A4	4	ENSG00000149503	51	LT0018_25_4	1	1	LT0018_25/LT0018_25_4_51.tif
169	LT0018_25	C1	49	ENSG00000149503	31	LT0018_25_49	1	1	LT0018_25/LT0018_25_49_31.tif
170	LT0018_25	C4	52	ENSG00000149503	43	LT0018_25_52	1	1	LT0018_25/LT0018_25_52_43.tif
171	LT0018_41	A4	4	ENSG00000149503	32	LT0018_41_4	1	1	LT0018_41/LT0018_41_4_32.tif
172	LT0018_41	C1	49	ENSG00000149503	61	LT0018_41_49	1	1	LT0018_41/LT0018_41_49_61.tif
173	LT0018_41	C4	52	ENSG00000149503	59	LT0018_41_52	1	1	LT0018_41/LT0018_41_52_59.tif
174	LT0019_06	A4	4	ENSG00000149503	40	LT0019_06_4	1	1	LT0019_06/LT0019_06_4_40.tif
175	LT0019_06	C1	49	ENSG00000149503	55	LT0019_06_49	1	1	LT0019_06/LT0019_06_49_55.tif
176	LT0019_06	C4	52	ENSG00000149503	49	LT0019_06_52	1	1	LT0019_06/LT0019_06_52_49.tif
177	LT0019_38	A4	4	ENSG00000149503	50	LT0019_38_4	1	1	LT0019_38/LT0019_38_4_50.tif
178	LT0019_38	C1	49	ENSG00000149503	32	LT0019_38_49	1	1	LT0019_38/LT0019_38_49_32.tif
179	LT0019_38	C4	52	ENSG00000149503	33	LT0019_38_52	1	1	LT0019_38/LT0019_38_52_33.tif
180	LT0019_48	A4	4	ENSG00000149503	43	LT0019_48_4	1	1	LT0019_48/LT0019_48_4_43.tif
181	LT0019_48	C1	49	ENSG00000149503	59	LT0019_48_49	1	1	LT0019_48/LT0019_48_49_59.tif
182	LT0019_48	C4	52	ENSG00000149503	38	LT0019_48_52	1	1	LT0019_48/LT0019_48_52_38.tif
183	LT0020_03	A4	4	ENSG00000149503	33	LT0020_03_4	1	1	LT0020_03/LT0020_03_4_33.tif
184	LT0020_03	C1	49	ENSG00000149503	41	LT0020_03_49	1	1	LT0020_03/LT0020_03_49_41.tif
185	LT0020_03	C4	52	ENSG00000149503	53	LT0020_03_52	1	1	LT0020_03/LT0020_03_52_53.tif
186	LT0020_04	A4	4	ENSG00000149503	31	LT0020_04_4	1	1	LT0020_04/LT0020_04_4_31.tif
187	LT0020_04	C1	49	ENSG00000149503	40	LT0020_04_49	1	1	LT0020_04/LT0020_04_49_40.tif
188	LT0020_04	C4	52	ENSG00000149503	49	LT0020_04_52	1	1	LT0020_04/LT0020_04_52_49.tif
189	LT0020_09	A4	4	ENSG00000149503	53	LT0020_09_4	1	1	LT0020_09/LT0020_09_4_53.tif
190	LT0020_09	C1	49	ENSG00000149503	37	LT0020_09_49	1	1	LT0020_09/LT0020_09_49_37.tif
191	LT0020_09	C4	52	ENSG00000149503	33	LT0020_09_52	1	1	LT0020_09/LT0020_09_52_33.tif
192	LT0020_40	A4	4	ENSG00000149503	38	LT0020_40_4	1	1	LT0020_40/LT0020_40_4_38.tif
193	LT0020_40	C1	49	ENSG00000149503	38	LT0020_40_49	1	1	LT0020_40/LT0020_40_49_38.tif
194	LT0020_40	C4	52	ENSG00000149503	47	LT0020_40_52	1	1	LT0020_40/LT0020_40_52_47.tif
195	LT0020_42	A4	4	ENSG00000149503	53	LT0020_42_4	1	1	LT0020_42/LT0020_42_4_53.tif
196	LT0020_42	C1	49	ENSG00000149503	46	LT0020_42_49	1	1	LT0020_42/LT0020_42_49_46.tif
197	LT0020_42	C4	52	ENSG00000149503	36	LT0020_42_52	1	1	LT0020_42/LT0020_42_52_36.tif
198	LT0021_08	A4	4	ENSG00000149503	48	LT0021_08_4	1	1	LT0021_08/LT0021_08_4_48.tif
199	LT0021_08	C1	49	ENSG00000149503	41	LT0021_08_49	1	1	LT0021_08/LT0021_08_49_41.tif
200	LT0021_08	C4	52	ENSG00000149503	51	LT0021_08_52	1	1	LT0021_08/LT0021_08_52_51.tif
201	LT0021_11	A4	4	ENSG00000149503	53	LT0021_11_4	1	1	LT0021_11/LT0021_11_4_53.tif
