	Plate	Well	Well Number	Original Gene Target	Frames
25033	LT0020_09	D2	74	negative control	54
25263	LT0020_09	M16	304	negative control	44
25274	LT0020_09	N3	315	negative control	57
25311	LT0020_09	O16	352	negative control	48
25358	LT0020_40	A15	15	negative control	55
25369	LT0020_40	B2	26	negative control	51
25406	LT0020_40	C15	63	negative control	54
25417	LT0020_40	D2	74	negative control	31
25647	LT0020_40	M16	304	negative control	42
25658	LT0020_40	N3	315	negative control	59
25695	LT0020_40	O16	352	negative control	35
25742	LT0020_42	A15	15	negative control	56
25753	LT0020_42	B2	26	negative control	31
25790	LT0020_42	C15	63	negative control	41
25801	LT0020_42	D2	74	negative control	45
26031	LT0020_42	M16	304	negative control	53
26042	LT0020_42	N3	315	negative control	59
26079	LT0020_42	O16	352	negative control	51
26126	LT0021_08	A15	15	negative control	49
26137	LT0021_08	B2	26	negative control	35
26174	LT0021_08	C15	63	negative control	53
26185	LT0021_08	D2	74	negative control	34
26415	LT0021_08	M16	304	negative control	57
26426	LT0021_08	N3	315	negative control	50
26463	LT0021_08	O16	352	negative control	38
26510	LT0021_11	A15	15	negative control	39
26521	LT0021_11	B2	26	negative control	60
26558	LT0021_11	C15	63	negative control	44
26569	LT0021_11	D2	74	negative control	36
26799	LT0021_11	M16	304	negative control	31
26810	LT0021_11	N3	315	negative control	39
26847	LT0021_11	O16	352	negative control	46
26894	LT0021_51	A15	15	negative control	46
26905	LT0021_51	B2	26	negative control	52
26942	LT0021_51	C15	63	negative control	42
26953	LT0021_51	D2	74	negative control	35
27183	LT0021_51	M16	304	negative control	38
27194	LT0021_51	N3	315	negative control	59
27231	LT0021_51	O16	352	negative control	44
27278	LT0021_68	A15	15	negative control	57
27289	LT0021_68	B2	26	negative control	41
27326	LT0021_68	C15	63	negative control	51
27337	LT0021_68	D2	74	negative control	45
27567	LT0021_68	M16	304	negative control	48
27578	LT0021_68	N3	315	negative control	58
27615	LT0021_68	O16	352	negative control	50
27662	LT0022_46	A15	15	negative control	34
27710	LT0022_46	C15	63	negative control	40
27721	LT0022_46	D2	74	negative control	49
27951	LT0022_46	M16	304	negative control	52
27962	LT0022_46	N3	315	negative control	33
27999	LT0022_46	O16	352	negative control	50
28046	LT0022_47	A15	15	negative control	61
28057	LT0022_47	B2	26	negative control	52
28094	LT0022_47	C15	63	negative control	57
